Date,Open,High,Low,Close,Adj Close,Volume
2022-11-11,3269.600098,3341.600098,3255.050049,3315.949951,3164.244385,3265394
2022-11-14,3324.000000,3349.000000,3309.000000,3335.500000,3182.900635,1342074
2022-11-15,3321.000000,3339.949951,3292.000000,3332.600098,3180.133057,1400708
2022-11-16,3338.899902,3367.899902,3321.449951,3355.350098,3201.841797,1748235
2022-11-17,3340.000000,3360.000000,3317.750000,3349.000000,3195.782959,1417986
2022-11-18,3350.000000,3362.750000,3321.000000,3343.449951,3190.486572,1164540
2022-11-21,3322.500000,3333.699951,3273.000000,3283.500000,3133.279541,1304194
2022-11-22,3280.000000,3318.949951,3255.250000,3314.949951,3163.290771,1149739
2022-11-23,3330.000000,3330.000000,3291.000000,3308.300049,3156.944824,1150011
2022-11-24,3316.250000,3392.949951,3308.300049,3380.149902,3225.507324,1296591
2022-11-25,3383.000000,3403.350098,3348.000000,3389.649902,3234.572510,1588981
2022-11-28,3366.000000,3417.000000,3365.550049,3395.250000,3239.916748,2195437
2022-11-29,3383.000000,3429.000000,3383.000000,3397.350098,3241.920654,1576028
2022-11-30,3383.000000,3414.899902,3375.000000,3390.800049,3235.670654,3410702
2022-12-01,3425.000000,3480.000000,3420.000000,3475.649902,3316.638428,2180856
2022-12-02,3458.100098,3468.899902,3413.000000,3439.149902,3281.808105,2411749
2022-12-05,3433.000000,3439.149902,3407.000000,3425.899902,3269.164551,1475065
2022-12-06,3400.050049,3407.949951,3368.000000,3385.350098,3230.469482,1166999
2022-12-07,3368.300049,3393.699951,3354.000000,3380.600098,3225.937500,1167505
2022-12-08,3360.000000,3380.600098,3339.449951,3350.550049,3197.261719,1285619
2022-12-09,3374.100098,3374.100098,3276.350098,3292.750000,3142.105957,1797896
2022-12-12,3255.500000,3296.000000,3236.100098,3286.449951,3136.094238,1527610
2022-12-13,3277.199951,3336.449951,3267.800049,3332.100098,3179.656250,1378016
2022-12-14,3348.800049,3377.000000,3340.899902,3365.350098,3211.384521,1213311
2022-12-15,3358.800049,3364.750000,3298.949951,3305.100098,3153.891357,1415694
2022-12-16,3275.000000,3292.000000,3225.199951,3240.250000,3092.008057,2703680
2022-12-19,3227.000000,3245.500000,3194.500000,3202.050049,3055.555908,2120965
2022-12-20,3198.899902,3249.000000,3163.649902,3243.949951,3095.538574,1529971
2022-12-21,3249.000000,3283.050049,3240.000000,3268.550049,3119.013184,1432566
2022-12-22,3294.000000,3294.000000,3245.100098,3259.699951,3110.568115,1384101
2022-12-23,3217.000000,3266.850098,3217.000000,3228.350098,3080.652344,1360281
2022-12-26,3228.350098,3272.000000,3225.050049,3252.899902,3104.079102,870157
2022-12-27,3269.199951,3273.800049,3231.500000,3259.500000,3110.377197,835883
2022-12-28,3249.800049,3266.100098,3226.000000,3257.100098,3108.087402,910795
2022-12-29,3231.100098,3271.500000,3228.000000,3268.750000,3119.204102,1037927
2022-12-30,3286.050049,3299.000000,3246.199951,3256.699951,3107.705566,1163131
2023-01-02,3261.000000,3266.850098,3235.199951,3261.449951,3112.237793,709547
2023-01-03,3252.000000,3320.000000,3245.300049,3311.350098,3159.855469,1245178
2023-01-04,3306.699951,3327.350098,3286.199951,3314.649902,3163.004150,1231668
2023-01-05,3330.199951,3337.300049,3281.949951,3311.100098,3159.616699,1826057
2023-01-06,3300.000000,3301.550049,3200.000000,3211.550049,3064.621094,2488376
2023-01-09,3229.000000,3327.000000,3221.149902,3319.949951,3168.061523,2885060
2023-01-10,3285.000000,3298.000000,3230.100098,3286.399902,3136.046387,3864655
2023-01-11,3290.100098,3349.500000,3271.149902,3328.699951,3176.411377,2720512
2023-01-12,3329.000000,3350.000000,3315.550049,3334.350098,3181.803223,2250391
2023-01-13,3342.899902,3379.000000,3305.000000,3374.550049,3220.163574,1742837
2023-01-16,3317.000000,3353.000000,3298.050049,3334.050049,3245.963623,1843607
2023-01-17,3330.000000,3381.800049,3321.000000,3378.399902,3289.141602,1688475
2023-01-18,3380.000000,3408.949951,3372.250000,3390.000000,3300.435303,2421189
2023-01-19,3380.000000,3387.000000,3361.000000,3373.100098,3283.981934,1585044
2023-01-20,3365.000000,3394.649902,3355.600098,3363.100098,3274.246094,1529349
2023-01-23,3388.000000,3419.000000,3355.600098,3414.899902,3324.677490,1067916
2023-01-24,3425.000000,3451.949951,3417.300049,3436.300049,3345.512207,1387863
2023-01-25,3425.300049,3435.000000,3405.000000,3429.750000,3339.135010,874110
2023-01-27,3426.000000,3446.000000,3382.300049,3411.050049,3320.929443,1785879
2023-01-30,3420.000000,3458.449951,3385.550049,3433.649902,3342.932129,1953798
2023-01-31,3449.000000,3449.000000,3351.000000,3358.699951,3269.962158,2820375
2023-02-01,3363.000000,3419.000000,3355.000000,3408.350098,3318.300781,2205161
2023-02-02,3427.000000,3469.000000,3420.100098,3460.399902,3368.975098,1813847
2023-02-03,3504.000000,3504.000000,3452.899902,3482.300049,3390.296631,1804469
2023-02-06,3473.149902,3473.149902,3436.850098,3459.949951,3368.537354,1138714
2023-02-07,3468.899902,3493.000000,3461.399902,3472.550049,3380.804443,1455647
2023-02-08,3478.050049,3539.899902,3478.050049,3520.100098,3427.098633,1986946
2023-02-09,3515.000000,3547.600098,3505.300049,3540.850098,3447.300293,1655427
2023-02-10,3520.000000,3542.350098,3508.149902,3537.550049,3444.087158,1187821
2023-02-13,3549.000000,3549.000000,3473.399902,3482.399902,3390.394287,1087939
2023-02-14,3505.000000,3524.850098,3495.000000,3500.100098,3407.626465,1579818
2023-02-15,3487.000000,3526.000000,3460.149902,3520.649902,3427.633301,1429449
2023-02-16,3527.199951,3575.000000,3527.000000,3558.050049,3464.045410,1618931
2023-02-17,3526.149902,3538.899902,3490.000000,3501.149902,3408.648438,1061369
2023-02-20,3502.000000,3522.000000,3475.050049,3487.300049,3395.164795,1296082
2023-02-21,3494.000000,3508.899902,3444.750000,3451.000000,3359.823730,1139541
2023-02-22,3414.949951,3447.000000,3395.000000,3401.550049,3311.680420,1218430
2023-02-23,3421.000000,3452.399902,3408.000000,3413.800049,3323.606689,1441570
2023-02-24,3422.500000,3433.949951,3382.300049,3400.449951,3310.609131,977592
2023-02-27,3390.000000,3390.000000,3316.000000,3331.850098,3243.821533,1128022
2023-02-28,3328.500000,3392.000000,3299.899902,3312.850098,3225.324219,4116217
2023-03-01,3323.000000,3389.000000,3315.000000,3385.699951,3296.249023,1669307
2023-03-02,3361.000000,3369.899902,3318.000000,3321.449951,3233.696533,1556538
2023-03-03,3354.000000,3358.000000,3331.100098,3342.149902,3253.849609,1043190
2023-03-06,3361.899902,3404.949951,3359.000000,3371.850098,3282.764648,1334132
2023-03-08,3364.000000,3396.000000,3330.850098,3390.399902,3300.824707,1844590
2023-03-09,3385.000000,3385.000000,3330.850098,3336.850098,3248.689453,1648500
2023-03-10,3312.899902,3337.250000,3290.000000,3331.000000,3242.994141,1024404
2023-03-13,3333.000000,3369.800049,3272.000000,3281.949951,3195.239990,1901233
2023-03-14,3280.000000,3304.399902,3209.399902,3214.949951,3130.010254,2670334
2023-03-15,3250.000000,3260.350098,3192.000000,3198.899902,3114.384033,1780522
2023-03-16,3208.000000,3219.800049,3172.000000,3185.000000,3100.851563,1901060
2023-03-17,3150.500000,3221.399902,3144.000000,3179.300049,3095.302246,6739966
2023-03-20,3169.649902,3169.649902,3095.050049,3143.300049,3060.253174,2289468
2023-03-21,3143.300049,3156.750000,3097.449951,3106.100098,3024.036133,1815297
2023-03-22,3130.050049,3143.500000,3106.100098,3130.800049,3048.083740,1123939
2023-03-23,3114.899902,3146.350098,3101.000000,3124.649902,3042.095947,1372218
2023-03-24,3148.899902,3170.000000,3106.000000,3120.500000,3038.055908,1329577
2023-03-27,3135.000000,3152.750000,3106.000000,3122.300049,3039.808350,1524217
2023-03-28,3127.000000,3149.550049,3110.149902,3115.899902,3033.577393,1303530
2023-03-29,3129.000000,3150.000000,3104.100098,3138.899902,3055.969482,1740616
2023-03-31,3189.949951,3213.000000,3152.000000,3205.899902,3121.199219,2382581
2023-04-03,3224.949951,3224.949951,3173.750000,3200.000000,3115.455322,1521830
2023-04-05,3185.500000,3264.350098,3185.500000,3239.800049,3154.203613,2655065
2023-04-06,3225.000000,3257.350098,3215.000000,3220.699951,3135.608154,1703464
2023-04-10,3220.000000,3272.000000,3215.000000,3263.399902,3177.179932,2203187
2023-04-11,3264.000000,3272.949951,3192.149902,3213.800049,3128.890869,2348779
2023-04-12,3227.949951,3260.949951,3199.000000,3241.649902,3156.004639,2417727
2023-04-13,3210.000000,3230.000000,3180.000000,3188.850098,3104.600098,4174070
2023-04-17,3134.100098,3163.399902,3070.250000,3139.500000,3056.553467,5505048
2023-04-18,3154.949951,3156.850098,3110.600098,3130.750000,3048.034668,2617302
2023-04-19,3130.750000,3140.000000,3071.500000,3089.600098,3007.971924,3298034
2023-04-20,3090.000000,3113.000000,3078.000000,3104.800049,3022.770264,2419999
2023-04-21,3110.000000,3164.449951,3100.800049,3160.850098,3077.339600,1929184
2023-04-24,3151.100098,3180.949951,3126.149902,3174.800049,3090.920898,1640676
2023-04-25,3183.000000,3191.199951,3147.500000,3176.000000,3092.089355,2024090
2023-04-26,3181.000000,3208.399902,3181.000000,3198.149902,3113.654053,2000029
2023-04-27,3185.000000,3199.199951,3170.649902,3187.949951,3103.723389,2434446
2023-04-28,3200.399902,3227.250000,3196.250000,3219.250000,3134.196289,2931312
2023-05-02,3235.000000,3235.000000,3210.000000,3219.399902,3134.342773,2321159
2023-05-03,3216.000000,3216.000000,3173.149902,3179.899902,3095.885986,2468285
2023-05-04,3180.149902,3224.449951,3178.000000,3220.699951,3135.608154,1953253
2023-05-05,3220.000000,3244.000000,3210.050049,3230.699951,3145.343994,1710027
2023-05-08,3245.000000,3254.850098,3231.300049,3250.600098,3164.718262,928235
2023-05-09,3252.600098,3298.000000,3246.000000,3283.250000,3196.505859,1107375
2023-05-10,3290.000000,3306.500000,3266.050049,3286.800049,3199.961914,1559987
2023-05-11,3309.000000,3309.699951,3272.000000,3282.149902,3195.434570,1719623
2023-05-12,3279.149902,3290.000000,3260.000000,3274.300049,3187.792236,1027479
2023-05-15,3284.000000,3292.000000,3248.350098,3255.050049,3169.051025,1150390
2023-05-16,3256.199951,3285.000000,3250.449951,3258.149902,3172.068604,986306
2023-05-17,3255.949951,3280.000000,3198.250000,3208.699951,3123.925293,1588815
2023-05-18,3225.949951,3228.949951,3195.000000,3199.850098,3115.309082,1369364
2023-05-19,3210.000000,3234.500000,3203.050049,3222.850098,3137.701416,1152449
2023-05-22,3230.000000,3308.449951,3217.050049,3298.699951,3211.547363,1333243
2023-05-23,3306.000000,3327.949951,3290.100098,3297.050049,3209.941406,1687418
2023-05-24,3276.000000,3317.199951,3276.000000,3303.350098,3216.074707,1016555
2023-05-25,3294.000000,3306.000000,3267.100098,3293.500000,3206.484863,1374917
2023-05-26,3293.500000,3338.649902,3291.000000,3328.899902,3240.949463,1791115
2023-05-29,3360.800049,3372.000000,3312.000000,3320.350098,3232.625488,1210372
2023-05-30,3315.000000,3326.949951,3301.350098,3316.199951,3228.585205,1344224
2023-05-31,3309.000000,3327.699951,3265.149902,3289.500000,3202.590576,5815424
2023-06-01,3314.000000,3340.000000,3297.500000,3324.000000,3236.179199,1177314
2023-06-02,3326.250000,3335.899902,3297.449951,3305.600098,3218.265381,2030661
2023-06-05,3315.000000,3327.000000,3285.050049,3288.899902,3202.006348,1861468
2023-06-06,3280.000000,3288.850098,3220.600098,3232.300049,3146.901855,2022849
2023-06-07,3253.000000,3278.850098,3241.000000,3274.899902,3188.376221,1567196
2023-06-08,3261.000000,3270.000000,3233.000000,3236.449951,3150.941895,1759366
2023-06-09,3245.000000,3250.000000,3205.350098,3209.300049,3124.509521,1775689
2023-06-12,3215.000000,3254.399902,3211.000000,3246.899902,3161.115967,2324605
2023-06-13,3260.000000,3265.000000,3239.000000,3243.699951,3158.000488,1371928
2023-06-14,3243.699951,3255.850098,3225.850098,3251.050049,3165.156494,1658544
2023-06-15,3245.300049,3247.449951,3210.000000,3216.300049,3154.612549,2273810
2023-06-16,3197.000000,3199.399902,3156.000000,3174.899902,3114.006348,4156189
2023-06-19,3190.000000,3214.899902,3175.000000,3210.399902,3148.825684,1468186
2023-06-20,3214.000000,3232.500000,3201.050049,3227.699951,3165.793945,1528452
2023-06-21,3250.000000,3261.399902,3223.949951,3258.199951,3195.708984,1645987
2023-06-22,3260.000000,3267.649902,3230.100098,3238.500000,3176.386719,1529603
2023-06-23,3237.300049,3249.399902,3209.149902,3216.350098,3154.661865,1119505
